1;2002;145649334
1;2003;144963650
1;2004;144333586
1;2005;143801046
1;2006;143236582
1;2007;142862692
1;2008;142747535
1;2009;142737196
1;2010;142833502
1;2011;142865433
1;2012;143056383
1;2013;143347059
1;2014;143666931
1;2015;146267288
1;2016;146544710
1;2017;146804372
2;2002;2071200
2;2003;2071300
2;2004;2051300
2;2005;2035800
2;2006;2019500
2;2007;2005900
2;2008;1995800
2;2009;1988000
2;2010;1982000
2;2011;1953500
2;2012;1950483
2;2013;1947263
2;2014;1938516
2;2015;1933308
2;2016;1929008
2;2017;1923116
6;2002;620689
6;2003;620689
6;2004;616800
6;2005;613400
6;2006;610200
6;2007;607333
6;2008;605388
6;2009;605227
6;2010;604826
6;2011;616086
6;2012;622693
6;2013;625868
6;2014;630027
6;2015;631387
6;2016;633167
6;2017;633414
3;2002;62896
3;2003;62896
3;2004;61600
3;2005;60600
3;2006;59700
3;2007;58734
3;2008;58021
3;2009;57306
3;2010;57171
3;2011;56714
3;2012;55823
3;2013;54987
3;2014;54085
3;2015;53543
3;2016;53083
3;2017;52767
4;2002;110963
4;2003;110963
4;2004;111400
4;2005;111500
4;2006;111600
4;2007;111689
4;2008;111953
4;2009;111774
4;2010;111206
4;2011;112035
4;2012;112285
4;2013;111919
4;2014;111840
4;2015;113451
4;2016;114873
4;2017;116284
7;2002;50271
7;2003;50271
7;2004;49700
7;2005;49400
7;2006;48900
7;2007;48453
7;2008;48046
7;2009;47395
7;2010;46967
7;2011;46245
7;2012;45517
7;2013;44924
7;2014;44446
7;2015;43961
7;2016;43700
7;2017;43211
8;2002;34671
8;2003;34671
8;2004;34200
8;2005;33600
8;2006;33200
8;2007;32637
8;2008;32378
8;2009;31790
8;2010;31638
8;2011;30694
8;2012;30148
8;2013;30170
8;2014;29516
8;2015;29314
8;2016;29185
8;2017;28891
9;2002;52244
9;2003;52244
9;2004;52100
9;2005;42200
9;2006;41900
9;2007;50700
9;2008;50499
9;2009;50430
9;2010;50251
9;2011;45055
9;2012;44998
9;2013;44907
9;2014;44643
9;2015;44221
9;2016;43769
9;2017;43481
10;2002;178895
10;2003;178895
10;2004;176300
10;2005;174600
10;2006;172700
10;2007;171039
10;2008;169461
10;2009;167542
10;2010;166602
10;2011;160525
10;2012;159935
10;2013;159330
10;2014;157397
10;2015;156649
10;2016;154476
10;2017;152294
11;2002;53061
11;2003;53061
11;2004;52100
11;2005;51500
11;2006;50700
11;2007;50082
11;2008;49619
11;2009;49578
11;2010;49376
11;2011;46642
11;2012;46259
11;2013;46044
11;2014;45646
11;2015;45564
11;2016;45371
11;2017;45106
